id,name,description,category,price,cuisine_type
M057,Salmon N Shrimp,"Freshly grilled salmon fillet topped with sauted shrimp and lemon-garlic sauce, served with sauted vegetables and mashed potatoes.",SEAFOOD,95,Seafood
M058,Chicken Fukhara,"Chicken breast cubes cooked in white sauce, and fresh mushrooms, served with steamed rice.",FUKHARA,80,Mediterranean
M059,Shrimp Fukhara,"Shrimp cooked in special marinated tomato sauce, served with steamed rice.",FUKHARA,95,Mediterranean
M060,Lamb Meat Fukhara,"Lamb meat cubes cooked with seasoned vegetables, served with steamed rice.",FUKHARA,105,Mediterranean
M061,Chocolate Cake,,DESSERT,22,American
M062,Baked Cheese Cake,,DESSERT,26,American
M063,Umm Ali,,DESSERT,38,Mediterranean
M064,Souffl,,DESSERT,25,American
M065,German Chocolate Cake,,DESSERT,30,American
M066,Red Velvet,,DESSERT,30,American
M067,Espresso,,COFFEE & MILK,11,American
M068,Double Espresso,,COFFEE & MILK,13,American
M069,Turkish coffee,,COFFEE & MILK,10,Turkish
M070,Cappuccino,,COFFEE & MILK,16,American
M071,Caff Latte,,COFFEE & MILK,16,American
M072,Caff Americano,,COFFEE & MILK,14,American
M073,Caff Mocha,,COFFEE & MILK,19,American
M074,Nescaf,,COFFEE & MILK,16,American
M075,Hot Chocolate,,COFFEE & MILK,19,American
M076,Chai Latte,,COFFEE & MILK,18,American
M077,Premium Tea,,TEA,16,Other
M078,Green Tea,,TEA,16,Other
M079,Herbs,,TEA,16,Other
M080,Home-Style Lemonade,,JUICES & SMOOTHIES,18,Beverages
M081,Lemon N Mint,,JUICES & SMOOTHIES,18,Beverages
M082,Apple,,JUICES & SMOOTHIES,18,Beverages
M083,Orange,,JUICES & SMOOTHIES,18,Beverages
M084,Carrot,,JUICES & SMOOTHIES,18,Beverages
M085,Pomegranate (Seasonal),,JUICES & SMOOTHIES,18,Beverages
M086,Mango,,JUICES & SMOOTHIES,18,Beverages
M087,Strawberry,,JUICES & SMOOTHIES,18,Beverages
M088,Pepsi | 7Up | Mirinda | Pepsi Max,,SOFT DRINK,8,Beverages
M089,Energy Drink,,SOFT DRINK,16,Beverages
M090,Perrier,,SOFT DRINK,16,Beverages
M091,S. Pellegrino water,,SOFT DRINK,22,Beverages
